"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/UnrealContent/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","14","1","1","20.374153","0","53"
"/Game/UnrealContent/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","14","14","1","22.757769","0","14"
"/Game/UnrealContent/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","46","2","1","64.784691","0","468"
"/Game/CardStuff/MATERIALS/M_Invalid.M_Invalid","0","36","1","1","50.678143","0","452"
"/Game/CardStuff/MATERIALS/M_MultiElement.M_MultiElement","0","14","1","1","21.134418","0","99"
"/Game/CardStuff/MATERIALS/M_ForceColor.M_ForceColor","0","14","1","1","16.541491","0","72"
"/Game/CardStuff/MATERIALS/M_FireColor.M_FireColor","0","14","1","1","17.375969","0","67"
"/Game/CardStuff/MATERIALS/M_EarthColor.M_EarthColor","0","14","1","1","17.475372","0","78"
"/Game/CardStuff/MATERIALS/M_DarkColor.M_DarkColor","0","14","1","1","17.618521","0","72"
"/Game/CardStuff/MATERIALS/M_AirColor.M_AirColor","0","14","2","1","20.132803","0","85"
"/Game/CardStuff/MATERIALS/M_WaterColor.M_WaterColor","0","14","4","1","19.290701","0","87"
"/Game/CardStuff/MATERIALS/M_Valid.M_Valid","0","18","1","1","30.284739","0","95"
"/Game/CardStuff/MATERIALS/M_LightColor.M_LightColor","0","14","1","1","22.150209","0","55"
"/Game/CardStuff/MATERIALS/M_Stone.M_Stone","0","54","3","1","72.533279","0","265"
"/Game/CardStuff/UI/M_UIDefault.M_UIDefault","0","9","4","1","5.532300","0","25"
"/Game/UnrealContent/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","0","46","1","1","57.932442","0","307"
"/Game/CardStuff/TEXTURES/CardTextures/Element_Alignment_Icons/Lawful_Good_Mat.Lawful_Good_Mat","0","28","1","1","24.860411","0","176"
"/Game/CardStuff/TEXTURES/CardTextures/Element_Alignment_Icons/Lawful_Evil_Mat.Lawful_Evil_Mat","0","28","1","1","26.123978","0","179"
"/Game/CardStuff/TEXTURES/CardTextures/Element_Alignment_Icons/Chaotic_Good_Mat.Chaotic_Good_Mat","0","28","1","1","26.505024","0","169"
"/Game/CardStuff/TEXTURES/CardTextures/Element_Alignment_Icons/Chaotic_Evil_Mat.Chaotic_Evil_Mat","0","28","2","1","27.344975","0","171"
"/Game/CardStuff/TEXTURES/CardTextures/Element_Alignment_Icons/Neutral_Icon_Mat.Neutral_Icon_Mat","0","28","2","1","26.410025","0","152"
"/Game/CardStuff/TEXTURES/CardTextures/Element_Alignment_Icons/Order_Icon_Mat.Order_Icon_Mat","0","28","3","1","26.931377","0","208"
"/Game/CardStuff/TEXTURES/CardTextures/Element_Alignment_Icons/Good_Icon_Mat.Good_Icon_Mat","0","28","1","1","26.986258","0","226"
"/Game/CardStuff/TEXTURES/CardTextures/Element_Alignment_Icons/Evil_Icon_Mat.Evil_Icon_Mat","0","28","1","1","27.305649","0","240"
"/Game/CardStuff/TEXTURES/CardTextures/Element_Alignment_Icons/Chaos_Icon_Mat.Chaos_Icon_Mat","0","28","3","1","31.828239","0","114"
"/Game/CardStuff/TEXTURES/cardback_Mat.cardback_Mat","0","28","2","1","32.349304","0","76"
